Name	Vendor	Architecture	Repository	Boards Manager URL	Repository Data Folder	Branch Name	Package Index Repository	Package Index Folder	Package Index Branch	Reference	Notes	Suppress
ADLINK SAMD Boards	adlink	samd	https://github.com/ADLINK/OT2IT	https://raw.githubusercontent.com/ADLINK/OT2IT/refs/heads/main/package_adlink_ot2it.json	/	master	https://github.com/ADLINK/OT2IT	/	main		Hard fork of https://github.com/arduino/ArduinoCore-samd.	
Tlera Corp STM32L0 Boards	A21Y	stm32l0	https://github.com/OS-Q/A21Y		/	master					Hard fork of https://github.com/GrumpyOldPizza/ArduinoCore-stm32l0.	
